,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
1104,2010-01-08,2020-12-09,3988 days,174,1,38.50574712643678,0.2924712643678161,-1.6,5.573582089552238,4.69,-3.0143925233644864,-2.53,50.89,WWW
452,2010-01-22,2020-10-23,3927 days,176,1,35.79545454545455,0.2875,-1.18,4.968412698412701,3.79,-2.3222123893805313,-1.97,50.60000000000001,HAS
455,2010-01-20,2020-11-09,3946 days,178,1,36.51685393258427,0.28421348314606754,-1.275,6.362923076923076,5.43,-3.212389380530974,-2.58,50.59,HBI
608,2010-01-20,2020-12-28,3995 days,184,1,39.130434782608695,0.2740217391304347,-1.26,7.041527777777778,6.595,-4.076517857142858,-3.495,50.42000000000003,LSCC
105,2010-01-07,2020-10-07,3926 days,170,1,37.64705882352941,0.29476470588235304,-1.3250000000000002,6.574687500000001,4.25,-3.564134615384614,-2.475,50.110000000000014,BBBY
896,2010-02-09,2020-12-30,3977 days,169,1,42.60355029585799,0.2965088757396449,-1.63,8.316527777777777,6.375,-5.6564948453608235,-3.87,50.11,SEAC
1021,2010-01-08,2020-11-23,3972 days,183,1,38.79781420765027,0.2731147540983607,-1.46,6.181126760563379,4.96,-3.4721428571428574,-2.915,49.97999999999999,UEIC
638,2010-01-22,2020-11-20,3955 days,167,1,36.52694610778443,0.2989221556886227,-1.41,6.066557377049178,5.27,-3.0201886792452814,-2.4850000000000003,49.919999999999995,MDRX
578,2010-01-05,2020-12-09,3991 days,171,1,37.42690058479532,0.29175438596491254,-1.9,7.661406249999996,7.105,-4.11626168224299,-3.17,49.89000000000001,LAD
663,2010-01-22,2020-12-14,3979 days,190,1,40.526315789473685,0.2610000000000001,-1.06,5.310779220779222,4.85,-3.208392857142858,-2.44,49.59,MMSI
850,2010-01-21,2020-12-14,3980 days,183,1,40.43715846994536,0.2679234972677597,-1.81,8.053783783783782,6.025,-5.0178899082568815,-3.83,49.03,REV
1027,2010-01-05,2020-12-17,3999 days,173,1,36.99421965317919,0.2826011560693638,-1.45,5.442499999999999,4.735,-2.7470642201834856,-2.19,48.89,UHAL
1006,2010-01-21,2020-12-07,3973 days,163,1,40.49079754601227,0.2993251533742331,-1.07,4.241666666666667,3.98,-2.383092783505154,-2.1,48.790000000000006,TTEK
261,2010-01-25,2020-12-04,3966 days,177,1,36.72316384180791,0.2749152542372882,-1.19,5.50569230769231,4.95,-2.7608035714285717,-1.9849999999999999,48.66,CTXS
28,2010-01-22,2020-12-23,3988 days,160,1,35.625,0.3038125000000001,-1.275,5.55017543859649,4.48,-2.599514563106796,-2.14,48.61,AES
681,2010-01-06,2020-11-10,3961 days,164,1,39.63414634146341,0.2950609756097561,-0.94,4.172461538461538,3.14,-2.273673469387755,-1.875,48.39,MTB
757,2010-01-15,2020-12-22,3994 days,172,1,39.53488372093023,0.28058139534883714,-0.99,4.12279411764706,3.4050000000000002,-2.2316346153846154,-1.97,48.25999999999999,OMC
355,2010-01-05,2020-12-07,3989 days,179,1,36.87150837988827,0.26916201117318445,-2.96,9.755,8.835,-5.2712389380530995,-4.25,48.17999999999997,EXAS
95,2010-01-05,2020-12-22,4004 days,162,1,39.50617283950617,0.29166666666666663,-1.775,7.583125000000001,6.915,-4.516185567010309,-3.96,47.24999999999999,AXL
514,2010-01-11,2020-12-18,3994 days,171,1,39.1812865497076,0.27590643274853793,-1.95,7.9974626865671645,7.62,-4.744174757281554,-4.11,47.180000000000014,INFN
734,2010-01-26,2020-12-28,3989 days,180,1,36.666666666666664,0.2581666666666669,-1.4,6.679242424242426,5.02,-3.4592982456140358,-2.76,46.47000000000003,NUVA
864,2010-01-04,2020-12-17,4000 days,178,1,35.39325842696629,0.25966292134831465,-2.0549999999999997,7.485238095238093,6.05,-3.698695652173911,-3.51,46.219999999999985,ROCK
874,2010-01-22,2020-11-27,3962 days,174,1,42.5287356321839,0.2604022988505747,-0.59,3.0152702702702703,2.745,-1.7782,-1.21,45.31,RSG
56,2010-01-14,2020-12-17,3990 days,177,1,36.72316384180791,0.25587570621468925,-1.76,7.895538461538462,7.28,-4.1778571428571425,-3.3449999999999998,45.28999999999999,AMED
276,2010-01-22,2020-11-18,3953 days,172,1,39.53488372093023,0.2630813953488372,-0.865,3.151617647058824,2.59,-1.625576923076923,-1.385,45.25,D
313,2010-01-11,2020-12-17,3993 days,174,1,39.08045977011494,0.25994252873563223,-0.835,4.3595588235294125,3.75,-2.37,-2.045,45.230000000000004,DVA
902,2010-02-04,2020-12-18,3970 days,180,1,40.0,0.25088888888888916,-2.0549999999999997,7.092916666666669,6.6899999999999995,-4.310462962962962,-3.7800000000000002,45.16,SGEN
856,2010-01-06,2020-11-16,3967 days,165,1,36.96969696969697,0.2736363636363637,-1.31,5.300491803278687,4.63,-2.674807692307693,-2.255,45.15000000000001,RHI
496,2010-01-19,2020-12-04,3972 days,163,1,38.036809815950924,0.2760736196319019,-0.82,4.0870967741935464,3.065,-2.063366336633664,-1.7,45.0,IBM
644,2010-01-05,2020-11-24,3976 days,166,1,39.75903614457831,0.26813253012048205,-1.23,4.8971212121212115,4.494999999999999,-2.7869999999999995,-2.335,44.51,MET
820,2010-01-06,2020-10-27,3947 days,165,1,40.0,0.2678181818181818,-0.73,4.096818181818182,3.5549999999999997,-2.3319587628865976,-1.94,44.18999999999998,PPG
682,2010-02-08,2020-12-24,3972 days,185,1,37.83783783783784,0.23864864864864857,-1.2,4.407571428571429,3.9,-2.298956521739131,-2.1,44.150000000000006,MTD
363,2010-01-05,2020-11-16,3968 days,172,1,38.95348837209303,0.25517441860465123,-1.025,4.571044776119404,3.96,-2.4987619047619054,-1.91,43.89,FAF
520,2010-01-13,2020-12-08,3982 days,171,1,40.93567251461988,0.255906432748538,-0.91,3.8191428571428574,3.415,-2.213663366336634,-1.73,43.760000000000005,INTU
1051,2010-02-19,2020-12-14,3951 days,176,1,33.52272727272727,0.24710227272727278,-1.895,8.901525423728812,6.96,-4.152586206896553,-3.43,43.489999999999995,VG
34,2010-01-21,2020-12-31,3997 days,163,1,38.65030674846626,0.2660122699386504,-1.32,6.633015873015873,6.38,-3.821632653061223,-3.02,43.36,AHC
421,2010-02-10,2020-12-28,3974 days,173,1,35.83815028901734,0.24953757225433534,-2.31,7.954516129032259,6.285,-4.054144144144144,-3.38,43.16999999999997,GHL
600,2010-01-27,2020-12-10,3970 days,177,1,37.28813559322034,0.2432203389830509,-1.34,5.720757575757578,4.6899999999999995,-3.0136936936936958,-2.46,43.04999999999999,LOPE
776,2010-01-20,2020-12-21,3988 days,176,1,37.5,0.24443181818181825,-1.23,6.138030303030304,4.345000000000001,-3.291727272727272,-2.125,43.019999999999975,OXY
98,2010-01-07,2020-12-10,3990 days,188,1,37.234042553191486,0.22877659574468076,-1.36,5.358,4.22,-2.813983050847459,-1.9949999999999999,43.01000000000001,AYI
904,2010-01-04,2020-11-24,3977 days,174,1,36.206896551724135,0.2469540229885059,-2.55,10.794126984126983,8.6,-5.739279279279279,-5.26,42.970000000000006,SGMS
953,2010-01-06,2020-12-28,4009 days,172,1,41.27906976744186,0.24912790697674392,-0.79,4.377887323943661,4.06,-2.6798,-2.01,42.85000000000001,SYBT
392,2010-01-07,2020-12-15,3995 days,179,1,39.66480446927375,0.23849162011173186,-0.87,4.028309859154929,3.47,-2.252962962962962,-1.755,42.69000000000001,FLO
590,2010-01-21,2020-11-30,3966 days,163,1,38.65030674846626,0.25944785276073634,-1.07,4.303333333333333,3.88,-2.2882000000000007,-2.065,42.290000000000006,LKFN
1056,2010-01-07,2020-12-21,4001 days,179,1,36.87150837988827,0.23620111731843568,-1.06,4.663484848484849,3.835,-2.3496460176991154,-1.88,42.28,VLY
795,2010-01-21,2020-11-16,3952 days,181,1,35.91160220994475,0.23303867403314948,-1.38,5.510615384615385,4.68,-2.7242241379310363,-2.08,42.18000000000001,PFG
288,2010-01-11,2020-10-13,3928 days,171,1,39.76608187134503,0.2452631578947368,-1.09,4.076764705882352,3.795,-2.2842718446601955,-1.85,41.940000000000005,DG
944,2010-01-20,2020-12-14,3981 days,169,1,41.42011834319527,0.24579881656804753,-1.15,4.8282857142857125,4.525,-2.9943434343434343,-2.55,41.54000000000002,STT
153,2010-02-01,2020-11-16,3941 days,166,1,37.95180722891566,0.24921686746987945,-1.2349999999999999,4.376666666666667,3.53,-2.275339805825243,-1.94,41.370000000000005,CAH
377,2010-01-21,2020-12-04,3970 days,159,1,39.62264150943396,0.26,-1.02,4.145238095238096,3.67,-2.2896875000000003,-1.8050000000000002,41.34,FE
