,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
696,2010-01-19,2020-10-07,3914 days,375,1,36.8,-0.6881066666666653,-2.82,8.60615942028986,6.21,-6.1258050847457595,-5.775,-258.03999999999996,MYE
917,2010-01-13,2020-10-30,3943 days,383,1,36.29242819843342,-0.6750130548302874,-1.97,6.302877697841727,4.02,-4.650122950819671,-3.9850000000000003,-258.53,SMG
890,2010-01-04,2020-07-15,3845 days,372,1,35.215053763440864,-0.7018548387096781,-2.46,7.1858015267175555,4.28,-4.9893360995850635,-4.61,-261.09000000000003,SCHW
493,2010-01-04,2020-12-01,3984 days,389,1,33.41902313624679,-0.6722107969151672,-2.38,7.497692307692305,5.705,-4.79143410852713,-4.1850000000000005,-261.49,IART
565,2010-01-21,2020-12-22,3988 days,414,1,35.02415458937198,-0.6342028985507249,-2.3449999999999998,7.530620689655171,4.91,-5.05410447761194,-4.475,-262.56,KMX
314,2010-01-26,2020-12-31,3992 days,318,1,33.9622641509434,-0.8257547169811317,-5.385,18.41537037037038,12.85,-10.876570048309178,-9.31,-262.5899999999999,DVAX
100,2010-01-07,2020-10-28,3947 days,394,1,35.025380710659896,-0.6674111675126897,-2.03,7.092608695652171,5.505,-4.8695686274509775,-4.33,-262.96000000000004,B
79,2010-01-04,2020-11-30,3983 days,380,1,33.421052631578945,-0.6936052631578948,-2.3049999999999997,7.474094488188976,4.48,-4.793596837944665,-4.02,-263.57,ASH
340,2010-01-06,2020-10-28,3948 days,328,1,35.0609756097561,-0.8090548780487812,-2.575,8.189391304347831,5.27,-5.667370892018775,-5.03,-265.37000000000006,ENSG
520,2010-01-13,2020-11-04,3948 days,404,1,35.89108910891089,-0.6574504950495051,-1.545,4.986620689655173,3.83,-3.8172586872586884,-3.27,-265.61,INTU
31,2010-01-04,2020-12-04,3987 days,381,1,30.971128608923888,-0.7033595800524939,-2.74,8.888050847457627,4.59,-5.006730038022815,-4.69,-267.98,AGCO
1048,2010-01-05,2020-10-23,3944 days,384,1,30.729166666666668,-0.7044791666666664,-1.87,6.738983050847457,4.675000000000001,-4.021584905660378,-2.94,-270.5199999999999,VAR
924,2010-01-28,2020-11-23,3952 days,426,1,34.50704225352113,-0.63706572769953,-1.145,3.4421768707482987,2.5,-2.8166304347826094,-2.29,-271.39,SO
501,2010-01-11,2020-10-08,3923 days,296,1,34.12162162162162,-0.926756756756757,-2.285,5.962772277227724,4.93,-4.495179487179486,-4.05,-274.32,ICUI
823,2010-01-05,2020-10-28,3949 days,376,1,35.1063829787234,-0.7364361702127656,-2.3600000000000003,7.37310606060606,4.99,-5.165909090909091,-4.485,-276.9,PRGS
1084,2010-01-05,2020-11-09,3961 days,384,1,30.208333333333332,-0.7230989583333326,-2.26,7.725517241379312,2.92,-4.379962686567166,-3.635,-277.66999999999996,WFC
956,2010-01-04,2020-11-05,3958 days,376,1,31.648936170212767,-0.7410904255319156,-3.8899999999999997,14.509915966386558,10.38,-7.864039215686274,-6.96,-278.65,SYNA
649,2010-01-04,2020-12-30,4013 days,373,1,33.78016085790885,-0.7477211796246641,-2.57,7.236904761904761,5.475,-4.820850202429147,-4.43,-278.9,MGRC
1112,2010-01-21,2020-11-30,3966 days,360,1,31.666666666666664,-0.7762222222222219,-1.78,5.396754385964911,4.105,-3.6368699186991864,-3.0149999999999997,-279.44,Y
765,2010-01-08,2020-11-20,3969 days,345,1,32.463768115942024,-0.8101739130434779,-2.58,7.741339285714287,4.82,-4.94198275862069,-4.605,-279.51,ORA
331,2010-01-05,2020-11-30,3982 days,373,1,36.193029490616624,-0.7507238605898113,-1.7,4.2891111111111115,2.66,-3.6094537815126038,-2.995,-280.02,EIX
773,2010-01-04,2020-12-07,3990 days,411,1,34.79318734793188,-0.6907299270072992,-4.0,14.181748251748248,9.34,-8.691278195488723,-7.475,-283.89,OSUR
1099,2010-01-20,2020-10-02,3908 days,360,1,32.77777777777778,-0.7900555555555554,-2.475,7.98177966101695,4.295,-5.067231404958675,-4.175,-284.42,WTFC
1049,2010-01-05,2020-12-28,4010 days,354,1,30.7909604519774,-0.8065254237288131,-4.45,14.920733944954131,8.66,-7.867777777777778,-7.39,-285.51,VECO
1089,2010-01-04,2020-12-02,3985 days,453,1,33.554083885209714,-0.6337306843267104,-1.28,3.511184210526317,2.365,-2.7359333333333336,-2.3049999999999997,-287.08000000000004,WM
251,2010-01-04,2020-11-09,3962 days,381,1,34.120734908136484,-0.7573753280839892,-2.41,6.741615384615385,4.95,-4.641314741035855,-4.14,-288.56000000000006,CSGS
739,2010-01-07,2020-12-14,3994 days,404,1,33.910891089108915,-0.7148762376237626,-2.25,7.962846715328467,6.07,-5.206490566037735,-4.21,-288.8100000000001,NWL
667,2010-01-04,2020-12-31,4014 days,410,1,33.41463414634146,-0.7083170731707319,-3.42,11.211970802919708,7.63,-6.6902930402930405,-5.6,-290.40999999999997,MOH
426,2010-01-04,2020-12-29,4012 days,381,1,32.28346456692913,-0.7636745406824148,-3.05,10.026341463414632,5.24,-5.9077519379845,-5.165,-290.96,GLT
630,2010-01-12,2020-10-27,3941 days,379,1,33.24538258575198,-0.7706068601583118,-2.19,6.648968253968254,4.865,-4.519320000000001,-3.88,-292.06,MCHP
677,2010-01-22,2020-12-18,3983 days,410,1,35.36585365853659,-0.7134878048780487,-2.3,7.075793103448281,5.19,-4.975547169811318,-4.67,-292.53,MSA
774,2010-01-21,2020-10-05,3910 days,398,1,32.1608040201005,-0.7351507537688439,-2.025,5.4621875,3.79,-3.6868029739776955,-3.43,-292.59000000000003,OTTR
967,2010-01-07,2020-10-27,3946 days,392,1,35.204081632653065,-0.7468877551020408,-2.0949999999999998,5.895724637681159,4.255,-4.35586614173228,-3.925,-292.78,TDY
985,2010-01-04,2020-11-09,3962 days,380,1,31.842105263157894,-0.7711052631578944,-2.02,5.613884297520661,3.22,-3.7540540540540532,-3.38,-293.02000000000004,TJX
326,2010-01-04,2020-10-28,3950 days,352,1,31.25,-0.834090909090909,-4.63,15.083818181818183,10.125,-8.170794979079494,-7.04,-293.5999999999999,EGHT
840,2010-01-08,2020-12-29,4008 days,379,1,32.71767810026385,-0.7754089709762534,-4.39,14.88806451612903,7.9350000000000005,-8.492063492063494,-7.484999999999999,-293.88,RAIL
561,2010-01-14,2020-11-03,3946 days,450,1,37.111111111111114,-0.6585111111111114,-2.325,6.894610778443112,5.72,-5.133794326241133,-4.53,-296.33,KLAC
864,2010-01-04,2020-11-23,3976 days,415,1,36.144578313253014,-0.7155662650602401,-3.28,10.289866666666667,6.324999999999999,-6.971363636363626,-6.0649999999999995,-296.96,ROCK
901,2010-02-02,2020-12-22,3976 days,363,1,29.75206611570248,-0.8201928374655645,-2.69,8.418425925925927,5.234999999999999,-4.751653543307086,-3.95,-297.7300000000001,SFNC
